height,entropybit,IsContract,tx,netstakeweight,modifier,flags,IsSuperBlock,querytime,fees_collected,mint,MoneySupply,claim->mining_id,difficulty,size,location,time,username,,locktime,netstakeweight,txid,contracts,vout->0->value,vout->0->scriptPubKey->addresses,vout->0->scriptPubKey->type,time
33,1,False,['13f84876a308743261e59e73d567211acff9f6c96b7a9af708e44bf8833717b8'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570840.0,ca895b47aacffbdbf906201821af2f9f,0.003347010443224161,391,"Bruges, Belgium",1413153484,unknown user,,0,180700778.1848732,13f84876a308743261e59e73d567211acff9f6c96b7a9af708e44bf8833717b8,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153484

34,0,False,['0c5fbd03a4a8da0d94ef2affe5c47994382c27d4da53b48479f07b2619fb2a99'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570870.0,ca895b47aacffbdbf906201821af2f9f,0.003586082617740173,400,"Bruges, Belgium",1413153563,unknown user,,0,180700778.1848732,0c5fbd03a4a8da0d94ef2affe5c47994382c27d4da53b48479f07b2619fb2a99,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153563

35,0,False,['e5e74ddc17d0241d62f62c3856a1c597a95c9a477ed029843c6ab1b4e22d250a'],180700778.1848732,0000000000000793,proof-of-work ,False,1,0,30,340570900.0,ca895b47aacffbdbf906201821af2f9f,0.003457304257546087,400,"Bruges, Belgium",1413153615,unknown user,,0,180700778.1848732,e5e74ddc17d0241d62f62c3856a1c597a95c9a477ed029843c6ab1b4e22d250a,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153615

36,1,False,['1c5304a2aaf615b3277bda0fb680d08fcf7a996aa0fde9917ce0965a246c97c4'],180700778.1848732,00000001cee0af93,proof-of-work stake-modifier ,False,1,0,30,340570930.0,ca895b47aacffbdbf906201821af2f9f,0.003512425308370951,391,"Bruges, Belgium",1413153666,unknown user,,0,180700778.1848732,1c5304a2aaf615b3277bda0fb680d08fcf7a996aa0fde9917ce0965a246c97c4,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153635

37,1,False,['f00b729b0fa07919af615979e93c2e2e3fa571148d00daf9f9578ff51699af1d'],180700778.1848732,00000001cee0af93,proof-of-work ,False,2,0,30,340570960.0,ca895b47aacffbdbf906201821af2f9f,0.00357556419003855,391,"Bruges, Belgium",1413153762,unknown user,,0,180700778.1848732,f00b729b0fa07919af615979e93c2e2e3fa571148d00daf9f9578ff51699af1d,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153762

38,0,False,['4502d78117e3e7f4fe2193ebcbfbf18604789fb05629b179729be07f9b60f245'],180700778.1848732,00000001cee0af93,proof-of-work ,False,1,0,30,340570990.0,ca895b47aacffbdbf906201821af2f9f,0.003339849101097209,403,"Bruges, Belgium",1413153851,unknown user,,0,180700778.1848732,4502d78117e3e7f4fe2193ebcbfbf18604789fb05629b179729be07f9b60f245,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153851

39,0,False,['0df22646be546619cee0d27ed0f77aa08aec77f2fec5d95892b50b8504eabdce'],180700778.1848732,00000001cee0af93,proof-of-work ,False,1,0,30,340571020.0,ca895b47aacffbdbf906201821af2f9f,0.003160172500524646,394,"Bruges, Belgium",1413153915,unknown user,,0,180700778.1848732,0df22646be546619cee0d27ed0f77aa08aec77f2fec5d95892b50b8504eabdce,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153915

40,0,False,['da1af55af7de4facebeb22f594ff430321012dfbadff7af359225ea6839652fc'],180700778.1848732,00000001cee0af93,proof-of-work ,False,1,0,30,340571050.0,ca895b47aacffbdbf906201821af2f9f,0.003135593123024913,400,"Bruges, Belgium",1413153932,unknown user,,0,180700778.1848732,da1af55af7de4facebeb22f594ff430321012dfbadff7af359225ea6839652fc,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153932

41,1,False,['dedfc00587b054df1cd4d5328d0a91218ae4df5516472878f01c843e482c7c34'],180700778.1848732,00000001cee0af93,proof-of-work ,False,1,0,30,340571080.0,ca895b47aacffbdbf906201821af2f9f,0.003424330422831001,391,"Bruges, Belgium",1413153970,unknown user,,0,180700778.1848732,dedfc00587b054df1cd4d5328d0a91218ae4df5516472878f01c843e482c7c34,[],30,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413153969

42,1,False,['7b7493bf48600f0c79c38feb70ce857e162a7574a078d1afef2a96e547fc6d22'],180700778.1848732,00000001cee0af93,proof-of-work ,False,1,0,48.64715378,340571128.6471538,ca895b47aacffbdbf906201821af2f9f,0.003578713233752254,395,"Bruges, Belgium",1413154264,unknown user,,0,180700778.1848732,7b7493bf48600f0c79c38feb70ce857e162a7574a078d1afef2a96e547fc6d22,[],48.64715378,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413154083

43,1,False,['9498ef6f4bd7b583b4094170894cca3524219cc7f8695aa3219fd89f69415821'],180700778.1848732,00000319cee0af93,proof-of-work stake-modifier ,False,1,0,48.64715378,340571177.2943076,ca895b47aacffbdbf906201821af2f9f,0.002453150753684574,395,"Bruges, Belgium",1413154366,unknown user,,0,180813558.5613733,9498ef6f4bd7b583b4094170894cca3524219cc7f8695aa3219fd89f69415821,[],48.64715378,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413154366

44,1,False,['b5b4cc7869fd51a313d90b32c609374b9c95e4cd0bfbda56b0dfd7cea39575a3'],180700778.1848732,00000319cee0af93,proof-of-work ,False,1,0,48.64715378,340571225.9414613,ca895b47aacffbdbf906201821af2f9f,0.00226651521288746,395,"Bruges, Belgium",1413154371,unknown user,,0,180700778.1848732,b5b4cc7869fd51a313d90b32c609374b9c95e4cd0bfbda56b0dfd7cea39575a3,[],48.64715378,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413154371

45,1,False,['cab4ce1915346951860c4253a942ccf869ef5d3b37c97f92c2b9aa6b11e70d81'],180700778.1848732,00000319cee0af93,proof-of-work ,False,1,0,48.64715378,340571274.5886151,ca895b47aacffbdbf906201821af2f9f,0.002540500702121747,395,"Bruges, Belgium",1413154373,unknown user,,0,180700778.1848732,cab4ce1915346951860c4253a942ccf869ef5d3b37c97f92c2b9aa6b11e70d81,[],48.64715378,['SGTcVAUpiYhC7MHy8CpcqxNh8krjjYAH4Y'],pubkeyhash,1413154373

